TIME,GEO,SEX,AGE,UNIT,Value
2007,Denmark,Males,51 years,Year,27.6
2007,Denmark,Males,52 years,Year,26.8
2007,Denmark,Males,53 years,Year,26
2007,Denmark,Males,54 years,Year,25.1
2007,Denmark,Males,55 years,Year,24.3
2007,Denmark,Males,56 years,Year,23.5
2007,Denmark,Males,57 years,Year,22.7
2007,Denmark,Males,58 years,Year,21.9
2007,Denmark,Males,59 years,Year,21.1
2007,Denmark,Males,60 years,Year,20.3
2007,Denmark,Males,61 years,Year,19.5
2007,Denmark,Males,62 years,Year,18.7
2007,Denmark,Males,63 years,Year,18
2007,Denmark,Males,64 years,Year,17.2
2007,Denmark,Males,65 years,Year,16.5
2007,Denmark,Males,66 years,Year,15.8
2007,Denmark,Males,67 years,Year,15.1
2007,Denmark,Males,68 years,Year,14.4
2007,Denmark,Males,69 years,Year,13.7
2007,Denmark,Males,70 years,Year,13
2007,Denmark,Males,71 years,Year,12.3
2007,Denmark,Males,72 years,Year,11.7
2007,Denmark,Males,73 years,Year,11.1
2007,Denmark,Males,74 years,Year,10.5
2007,Denmark,Males,75 years,Year,9.9
2007,Denmark,Males,76 years,Year,9.4
2007,Denmark,Males,77 years,Year,8.8
2007,Denmark,Males,78 years,Year,8.3
2007,Denmark,Males,79 years,Year,7.8
2007,Denmark,Males,80 years,Year,7.3
2007,Denmark,Males,81 years,Year,6.9
2007,Denmark,Males,82 years,Year,6.4
2007,Denmark,Males,83 years,Year,6
